PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Benzene,Eth-Benzene,MP-Xylene,Temp,relative_humidity,wind_speed,wind_direction,Timestamp
1.649261681313067,1.3024258285865098,0.42857012387733695,1.2708460157117598,0.8431988777868183,1.5087275648932479,0.4110355857656939,0.4609374999999999,-0.6035187303102546,-0.4923076923076924,3.638278192491466,7.74,-0.9510869565217392,-0.22948506936280316,0.24,207.84,2021-01-01 00:00:00
,1.768589588510854,0.8204444595334136,0.6034007021240124,0.9850023514960738,1.4826588380700385,0.6333466613354658,0.5703125,-0.6339226965727359,-0.4791208791208792,3.638278192491466,11.47,-1.141304347826087,0.14436868093110714,0.24,176.15,2021-01-01 01:00:00
0.0070645944293004845,2.05907321471772,0.5901385660646525,0.5318214304880733,0.7259017090977868,1.3660012855361763,0.6477409036385449,0.5859375,-0.6334159638016946,-0.44615384615384623,3.638278192491466,9.94,-1.2010869565217397,-0.04608511638843188,0.21,165.74,2021-01-01 02:00:00
1.9748752609181,1.5982757483120371,0.6683244642576368,0.12557766953673516,0.6507173169969066,1.3366739678600654,0.6557377049180328,0.6015625,-0.649631412475018,-0.42637362637362636,3.638278192491466,19.18,-1.2989130434782612,0.06771690571361381,0.21,208.17,2021-01-01 03:00:00
1.9045504345536994,1.4579603686027847,0.6829695569705222,-0.07409082502667372,0.5893325918006184,1.2662884054374,0.6301479408236705,0.5859375,-0.6288553688623224,-0.4175824175824176,3.638278192491466,9.22,-1.3423913043478266,0.1373148365859394,0.28,146.8,2021-01-01 04:00:00
1.8403268488327857,1.4313048450592711,0.9331171889535151,-0.2216445867323376,0.7858588825453243,1.343191149565868,0.8972411035585767,0.6015625,-0.6339226965727359,-0.4175824175824176,3.638278192491466,10.93,-1.3315217391304355,0.1758758523395248,0.32,162.3,2021-01-01 05:00:00
1.8396846129755766,1.5901823220215971,1.1745250075433344,-0.06027728137763293,1.0901653303207233,1.2512988875140543,1.0379848060775692,0.6249999999999999,-0.649631412475018,-0.42637362637362636,3.638278192491466,17.54,-1.3016304347826086,0.15424406301434287,0.39,150.17,2021-01-01 06:00:00
,1.822516439772153,1.0448450736824628,-0.08350915024192877,0.9512169601089697,1.3314602224954235,0.8988404638144742,0.5859375,-0.5462579271825815,-0.443956043956044,3.638278192491466,12.47,-1.1983695652173914,0.057841523630378075,0.55,144.9,2021-01-01 07:00:00
0.0070645944293004845,1.8340407750335397,0.5589586912565739,0.7949066481675338,0.7939483424549127,0.9645428924587501,0.49740103958416637,0.5468749999999998,1.0048510849750083,-0.42637362637362636,3.638278192491466,17.93,-0.7500000000000004,-0.2732189043028451,0.74,105.97,2021-01-01 08:00:00
1.4344337870766102,1.0757219204293036,0.3784933552461806,1.3330069621324434,0.8163133198520099,0.8381095673661844,0.3006797281087564,0.42968749999999983,1.584046642275278,-0.443956043956044,3.638278192491466,15.33,-0.11684782608695646,-0.5986362567599344,0.55,118.24,2021-01-01 09:00:00
1.454021980721489,1.0883898920143396,0.3021971464355037,1.4441431996724543,0.7815762272990717,0.953463683558886,0.4206317473010795,0.35937499999999994,0.052193475417259695,-0.4791208791208792,3.638278192491466,10.68,0.42391304347826053,-0.9141782271337882,1.29,144.96,2021-01-01 10:00:00
1.4861337735819458,1.1082715696408543,0.10874019592174447,1.6689272281432102,0.6721305932281701,1.126168998762649,0.6813274690123952,0.2734374999999999,0.052193475417259695,-0.4703296703296704,3.638278192491466,15.12,0.6847826086956521,-1.016223841993887,"0       0.240000
1       0.240000
2       0.240000
3       0.225000
4       0.240000
          ...   
8755    0.768593
8756    0.768593
8757    0.768593
8758    0.768593
8759    0.768593
Name: wind_speed, Length: 8760, dtype: float64",144.26,2021-01-01 11:00:00
1.104324556471113,0.8191954958323254,-0.09392899033076527,1.3656571562119948,0.35259692679942867,1.2434782694670916,0.4798080767692924,0.14062499999999994,0.052193475417259695,-0.4923076923076924,2.17,3.12,1.1277173913043474,-1.1972725135198683,1.21,158.53,2021-01-01 12:00:00
0.7825643920093349,0.6925157799819658,-0.6272938184871371,,0.07113130700404444,1.1229104079097476,0.5101959216313475,-0.06250000000000006,0.052193475417259695,-0.5054945054945055,4.49,2.96,1.315217391304347,-1.3218904302845054,1.53,197.69,2021-01-01 13:00:00
0.30217197081689945,0.40968571994105873,-1.159713801952355,,-0.382592223807281,1.5419651915928398,0.22870851659336267,-0.17187500000000014,0.052193475417259695,-0.5208791208791209,3.68,5.6,1.2934782608695647,-1.2005643075476136,0.94,245.87,2021-01-01 14:00:00
0.9016991435216302,0.685302073940487,-1.1625483360258166,1.7191582959579044,-0.5891113767932432,1.781797478366367,0.26389444222311087,-0.17968749999999997,0.052193475417259695,-0.5010989010989011,3.12,7.08,0.7717391304347826,-0.978133082529979,0.68,253.64,2021-01-01 15:00:00
0.6226476635642596,0.4145241813103434,-1.1509739885591816,,-0.4642005987775401,,0.3310675729708118,-0.17187500000000014,0.052193475417259695,-0.4857142857142857,4.11,3.32,0.377717391304348,-0.6762285445567835,0.48,244.61,2021-01-01 16:00:00
0.8416500908725758,0.6907563394840442,-1.1325495170816806,,-0.4254187762698077,0.000637494972383753,0.4878048780487807,-0.1328125000000001,0.052193475417259695,-0.5230769230769231,4.21,10.3,0.05978260869565187,-0.4312250176346109,0.48,257.81,2021-01-01 17:00:00
1.1945586944089972,0.8610701796828609,-1.111762933876295,,-0.3571342176212232,1.8743414585887608,0.34706117552978816,-0.10156250000000008,,-0.44835164835164837,4.7,5.3,-0.19021739130434764,-0.10815894662591098,0.46,273.16,2021-01-01 18:00:00
